$version=1
!Code,Name,SystemCode,DemandCode,BusCode,ReactivePowerInputType
578,SJRPAR-SP138,1,1,2073,0
579,ITA.2--SP138,1,1,2075,0
580,ITAP1A-SP088,1,1,2076,0
581,JAGUAR-SP138,1,1,2077,0
582,PEDREI-SP138,1,1,2078,0
583,C.AZUL-SP138,1,1,2081,0
584,JAGUA2-SP034,1,1,2085,0
585,JAGUA2-SP138,1,1,2087,0
586,HOLAMB-SP138,1,1,2090,0
587,LEOPOL-MG069,1,1,2093,0
588,NUMAUR-MG069,1,1,2095,0
589,CATAUA-MG069,1,1,2097,0
590,CATAUB-MG069,1,1,2098,0
591,LARANJ-MG069,1,1,2099,0
592,MURIA2-MG069,1,1,2101,0
593,MURIA1-MG069,1,1,2102,0
594,ASTODU-MG069,1,1,2103,0
595,UBA-2--MG069,1,1,2105,0
596,UBA-1--MG069,1,1,2106,0
597,VRBRAN-MG138,1,1,2107,0
598,VRBRA2-MG069,1,1,2108,0
599,VRBRA1-MG069,1,1,2109,0
600,COIMBR-MG069,1,1,2110,0
601,ITUEREPCH013,1,1,2111,0
602,TOCANT-MG138,1,1,2112,0
603,MANHUA-MG069,1,1,2114,0
604,REALEZ-MG069,1,1,2115,0
605,MATIPO-MG069,1,1,2117,0
606,ALEMPA-MG069,1,1,2120,0
607,ERVALI-MG069,1,1,2122,0
608,RIONOV-MG069,1,1,2124,0
609,RODEIR-MG069,1,1,2127,0
610,GUIRIC-MG069,1,1,2128,0
611,SM.ANT-MG138,1,1,2130,0
612,DIVINE-MG069,1,1,2144,0
613,P.FIAL-MG138,1,1,2147,0
614,SAMARC-MG138,1,1,2148,0
615,RCO----MG069,1,1,2149,0
616,UBA3---MG138,1,1,2158,0
617,MANHU2-MG138,1,1,2159,0
618,OURIN1-SP088,1,1,2191,0
619,OURIN2-SP088,1,1,2192,0
620,ITAISC-SP138,1,1,2195,0
621,R.PAR-UTE013,1,1,2197,0
622,IPAUSSUTE013,1,1,2198,0
623,AVARE2-SP034,1,1,2199,0
624,TAGUA--SP069,1,1,2202,0
625,HOLAM--SP069,1,1,2207,0
626,TIMBU--SP069,1,1,2208,0
627,SARUT--SP069,1,1,2209,0
628,RCLAR--SP069,1,1,2210,0
629,COLONI-SP138,1,1,2211,0
630,CRUZEI-SP138,1,1,2213,0
631,CPIC.F-SP138,1,1,2215,0
632,BOSCH--SP138,1,1,2216,0
633,CLV+ME-SP138,1,1,2217,0
634,QAMPAR-SP138,1,1,2218,0
635,AMPARO-SP138,1,1,2219,0
636,BANDEI-SP138,1,1,2220,0
637,BARBAR-SP138,1,1,2221,0
638,BOAVIS-SP138,1,1,2222,0
639,CJARDI-SP138,1,1,2223,0
640,CAPI1A-SP138,1,1,2224,0
641,CATERP-SP138,1,1,2226,0
642,CHAPAD-SP138,1,1,2227,0
643,AMSTED-SP138,1,1,2228,0
644,COSTAP-SP138,1,1,2229,0
645,PAINEI-SP138,1,1,2230,0
646,ESMERA-SP138,1,1,2231,0
647,PIRNOR-SP138,1,1,2232,0
648,VILLAR-SP138,1,1,2233,0
649,VICRAY-SP138,1,1,2234,0
650,GEVISA-SP138,1,1,2235,0
651,GOODYE-SP138,1,1,2236,0
652,IPE----SP138,1,1,2237,0
653,ITAPIR-SP138,1,1,2238,0
654,JARDIM-SP138,1,1,2239,0
655,MAZUL--SP138,1,1,2240,0
656,MTEMOR-SP138,1,1,2241,0
657,DIC----SP138,1,1,2242,0
