**** Planta:    1 CAMARGOS    
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2039 16155.2 16366.9 16665.8   17027   17027   17027   17027   17027   17027   17027 16404.3 15868.8
**** Planta:   33 SAO SIMAO   
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 11409.8 11902.9 12229.8   12540   12540   12540   12540   12540   12540   12540 11542.8 10606.5
2026 11409.8 11902.9 12229.8   12540   12540   12540   12540   12540   12540   12540 11542.8 10606.5
2027 11409.8 11902.9 12229.8   12540   12540   12540   12540   12540   12540   12540 11542.8 10606.5
2028 11409.8 11902.9 12229.8   12540   12540   12540   12540   12540   12540   12540 11542.8 10606.5
2029 11409.8 11902.9 12229.8   12540   12540   12540   12540   12540   12540   12540 11542.8 10606.5
2030 11409.8 11902.9 12229.8   12540   12540   12540   12540   12540   12540   12540 11542.8 10606.5
2031 11409.8 11902.9 12229.8   12540   12540   12540   12540   12540   12540   12540 11542.8 10606.5
2032 11409.8 11902.9 12229.8   12540   12540   12540   12540   12540   12540   12540 11542.8 10606.5
2033 11409.8 11902.9 12229.8   12540   12540   12540   12540   12540   12540   12540 11542.8 10606.5
2034 11409.8 11902.9 12229.8   12540   12540   12540   12540   12540   12540   12540 11542.8 10606.5
2035 11409.8 11902.9 12229.8   12540   12540   12540   12540   12540   12540   12540 11542.8 10606.5
2036 11409.8 11902.9 12229.8   12540   12540   12540   12540   12540   12540   12540 11542.8 10606.5
2037 11409.8 11902.9 12229.8   12540   12540   12540   12540   12540   12540   12540 11542.8 10606.5
2038 11409.8 11902.9 12229.8   12540   12540   12540   12540   12540   12540   12540 11542.8 10606.5
2039 11409.8 11902.9 12229.8   12540   12540   12540   12540   12540   12540   12540 11542.8 10606.5
**** Planta:   34 _I. SOLTEIRA
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 19192.9 19765.1 20609.3   21060   21060   21060   21060   21060   21060   21060 19192.9 19192.9
2026 19192.9 19765.1 20609.3   21060   21060   21060   21060   21060   21060   21060 19192.9 19192.9
2027 19192.9 19765.1 20609.3   21060   21060   21060   21060   21060   21060   21060 19192.9 19192.9
2028 19192.9 19765.1 20609.3   21060   21060   21060   21060   21060   21060   21060 19192.9 19192.9
2029 19192.9 19765.1 20609.3   21060   21060   21060   21060   21060   21060   21060 19192.9 19192.9
2030 19192.9 19765.1 20609.3   21060   21060   21060   21060   21060   21060   21060 19192.9 19192.9
2031 19192.9 19765.1 20609.3   21060   21060   21060   21060   21060   21060   21060 19192.9 19192.9
2032 19192.9 19765.1 20609.3   21060   21060   21060   21060   21060   21060   21060 19192.9 19192.9
2033 19192.9 19765.1 20609.3   21060   21060   21060   21060   21060   21060   21060 19192.9 19192.9
2034 19192.9 19765.1 20609.3   21060   21060   21060   21060   21060   21060   21060 19192.9 19192.9
2035 19192.9 19765.1 20609.3   21060   21060   21060   21060   21060   21060   21060 19192.9 19192.9
2036 19192.9 19765.1 20609.3   21060   21060   21060   21060   21060   21060   21060 19192.9 19192.9
2037 19192.9 19765.1 20609.3   21060   21060   21060   21060   21060   21060   21060 19192.9 19192.9
2038 19192.9 19765.1 20609.3   21060   21060   21060   21060   21060   21060   21060 19192.9 19192.9
2039 19192.9 19765.1 20609.3   21060   21060   21060   21060   21060   21060   21060 19192.9 19192.9
**** Planta:   37 BARRA BONITA
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 2963.08 3009.27 3052.89 3114.47 3124.74    3135    3135    3135    3135    3135 2983.61 2929.72
2026 2963.08 3009.27 3052.89 3114.47 3124.74    3135    3135    3135    3135    3135 2983.61 2929.72
2027 2963.08 3009.27 3052.89 3114.47 3124.74    3135    3135    3135    3135    3135 2983.61 2929.72
2028 2963.08 3009.27 3052.89 3114.47 3124.74    3135    3135    3135    3135    3135 2983.61 2929.72
2029 2963.08 3009.27 3052.89 3114.47 3124.74    3135    3135    3135    3135    3135 2983.61 2929.72
2030 2963.08 3009.27 3052.89 3114.47 3124.74    3135    3135    3135    3135    3135 2983.61 2929.72
2031 2963.08 3009.27 3052.89 3114.47 3124.74    3135    3135    3135    3135    3135 2983.61 2929.72
2032 2963.08 3009.27 3052.89 3114.47 3124.74    3135    3135    3135    3135    3135 2983.61 2929.72
2033 2963.08 3009.27 3052.89 3114.47 3124.74    3135    3135    3135    3135    3135 2983.61 2929.72
2034 2963.08 3009.27 3052.89 3114.47 3124.74    3135    3135    3135    3135    3135 2983.61 2929.72
2035 2963.08 3009.27 3052.89 3114.47 3124.74    3135    3135    3135    3135    3135 2983.61 2929.72
