$version=1
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE. CCTp FuVr FuVrLm ExcG
 861 RCSE-4471       1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 862 RCSE-1673       1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 863 RCSE-38931      1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 864 RCSE-4472       1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 865 RCSE-27157      1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 866 RCSE-1825       1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 867 RCSE-27548      1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 868 RCSE-40672      1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 869 RCSE-3343       1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 870 RCSE-1065       1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 871 RCSE-3332       1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 872 RCSE-1067       1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 873 RCSE-3341       1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 874 RCSE-3353       1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 875 RCSE-3342       1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 876 RCSE-3339       1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 877 RCSE-3351       1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 878 RCSE-3331       1    1  700.76       0       0       0       0       0    0  574     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 889 RSSE-41139      1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 890 RSSE-1752       1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 891 RSSE-4471       1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 892 RSSE-1673       1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 893 RSSE-38931      1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 894 RSSE-4472       1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 895 RSSE-27157      1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 896 RSSE-1825       1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 897 RSSE-27548      1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 898 RSSE-40672      1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 899 RSSE-3343       1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 900 RSSE-1065       1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 901 RSSE-3332       1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 902 RSSE-1067       1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 903 RSSE-3341       1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 904 RSSE-3353       1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 905 RSSE-3342       1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 906 RSSE-3339       1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 907 RSSE-3351       1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 908 RSSE-3331       1    1  1333.7       0       0       0       0       0    0  570     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
