$version=1
!Code,Latitude,Longitude
1521,-16.73,-42.57
1522,-16.83,-42.02
1523,-17.07,-47.11
1524,-17.34,-44.87
1525,-17.34,-44.87
1526,-20.04,-44.31
1540,-19.98,-43.95
1545,-19.9,-43.98
1546,-19.94,-44.02
1547,-20,-43.99
1548,-19.96,-44.08
1549,-19.99,-44.19
1550,-19.96,-44.14
1551,-19.92,-44.18
1552,-19.98,-43.98
1553,-19.92,-43.95
1554,-19.93,-43.93
1555,-19.93,-44.07
1556,-19.83,-43.86
1557,-19.54,-44.08
1558,-19.9,-44.03
1559,-19.94,-43.96
1560,-19.9,-43.92
1561,-20,-44.03
1562,-19.82,-43.88
1563,-19.87,-43.94
1564,-19.56,-44.11
1565,-19.96,-43.83
1566,-19.82,-44.1
1567,-19.79,-44
1568,-19.83,-44.04
1569,-19.77,-44.12
1570,-19.7,-43.94
1571,-19.99,-43.87
1572,-19.83,-43.95
1573,-19.29,-44.39
1574,-19.6,-44.05
1575,-19.97,-44.09
1576,-19.91,-43.82
1577,-19.93,-43.91
1578,-19.95,-43.94
1579,-19.44,-44.24
1580,-19.47,-44.21
1581,-19.51,-44.27
1582,-19.52,-44.32
1583,-19.76,-43.84
1584,-19.78,-43.92
1585,-19.87,-43.91
1586,-19.78,-43.95
1587,-19.93,-43.85
1588,-19.97,-44.28
1589,-19.74,-43.91
1590,-19.69,-43.95
1591,-19.91,-43.46
1592,-19.68,-44.17
1593,-19.93,-43.97
1594,-19.96,-44.03
1595,-19.92,-44.12
1596,-20.21,-43.73
1597,-19.89,-43.37
1598,-19.48,-44.19
1599,-20.16,-43.95
1600,-19.11,-42.73
1607,-19.32,-46.06
1609,-19.81,-43.11
1610,-19.87,-43.74
1611,-16.85,-42.07
1612,-19.85,-43.44
1613,-19.82,-43.13
1614,-18.3,-41.75
1615,-19.77,-42.13
1616,-19.18,-41.48
1617,-18.55,-41.91
1618,-18.85,-41.98
1619,-18.85,-41.98
1620,-19.6,-43.29
1621,-19.57,-42.12
1622,-19.44,-42.56
1623,-19.44,-42.56
1624,-19.21,-42.35
1626,-19.6,-43.2
1627,-16.57,-41.49
1628,-16.44,-41.02
1629,-20.24,-42.03
1630,-19.42,-42.55
1631,-19.7,-43.05
1632,-18.55,-42.57
1633,-17.08,-41.49
1634,-18.85,-41.98
1635,-19.93,-43.85
1636,-17.87,-41.52
