$version=1
!code,Date,block,UB
9,2035/12/01,3,7000
9,2035/12/01,4,7000
9,2036/01/01,1,8000
9,2036/01/01,2,8000
9,2036/01/01,3,8000
9,2036/01/01,4,8000
9,2036/07/01,1,6000
9,2036/07/01,2,6000
9,2036/07/01,3,6000
9,2036/07/01,4,6000
9,2036/08/01,1,5000
9,2036/08/01,2,5000
9,2036/08/01,3,5000
9,2036/08/01,4,5000
9,2036/11/01,1,6000
9,2036/11/01,2,6000
9,2036/11/01,3,6000
9,2036/11/01,4,6000
9,2036/12/01,1,7000
9,2036/12/01,2,7000
9,2036/12/01,3,7000
9,2036/12/01,4,7000
9,2037/01/01,1,8000
9,2037/01/01,2,8000
9,2037/01/01,3,8000
9,2037/01/01,4,8000
9,2037/07/01,1,6000
9,2037/07/01,2,6000
9,2037/07/01,3,6000
9,2037/07/01,4,6000
9,2037/08/01,1,5000
9,2037/08/01,2,5000
9,2037/08/01,3,5000
9,2037/08/01,4,5000
9,2037/11/01,1,6000
9,2037/11/01,2,6000
9,2037/11/01,3,6000
9,2037/11/01,4,6000
9,2037/12/01,1,7000
9,2037/12/01,2,7000
9,2037/12/01,3,7000
9,2037/12/01,4,7000
9,2038/01/01,1,8000
9,2038/01/01,2,8000
9,2038/01/01,3,8000
9,2038/01/01,4,8000
9,2038/07/01,1,6000
9,2038/07/01,2,6000
9,2038/07/01,3,6000
9,2038/07/01,4,6000
9,2038/08/01,1,5000
9,2038/08/01,2,5000
9,2038/08/01,3,5000
9,2038/08/01,4,5000
9,2038/11/01,1,6000
9,2038/11/01,2,6000
9,2038/11/01,3,6000
9,2038/11/01,4,6000
9,2038/12/01,1,7000
9,2038/12/01,2,7000
9,2038/12/01,3,7000
9,2038/12/01,4,7000
9,2039/01/01,1,8000
9,2039/01/01,2,8000
9,2039/01/01,3,8000
9,2039/01/01,4,8000
9,2039/07/01,1,6000
9,2039/07/01,2,6000
9,2039/07/01,3,6000
9,2039/07/01,4,6000
9,2039/08/01,1,5000
9,2039/08/01,2,5000
9,2039/08/01,3,5000
9,2039/08/01,4,5000
9,2039/11/01,1,6000
9,2039/11/01,2,6000
9,2039/11/01,3,6000
9,2039/11/01,4,6000
9,2039/12/01,1,7000
9,2039/12/01,2,7000
9,2039/12/01,3,7000
9,2039/12/01,4,7000
11,2025/01/01,1,740.7159
11,2025/01/01,2,702.8894
11,2025/01/01,3,648.456
11,2025/01/01,4,568.5193
11,2025/02/01,1,740.7159
11,2025/02/01,2,709.4846
11,2025/02/01,3,642.552
11,2025/02/01,4,561.7759
11,2025/03/01,1,755.2341
11,2025/03/01,2,725.7312
11,2025/03/01,3,660.7713
11,2025/03/01,4,572.5302
11,2025/04/01,1,750.0636
11,2025/04/01,2,741.7432
11,2025/04/01,3,670.2014
11,2025/04/01,4,579.1544
11,2025/05/01,1,808.7375
11,2025/05/01,2,790.105
11,2025/05/01,3,712.0225
11,2025/05/01,4,625.82
11,2025/06/01,1,777.4745
11,2025/06/01,2,777.4031
11,2025/06/01,3,708.8592
11,2025/06/01,4,625.82
11,2025/07/01,1,845.3528
11,2025/07/01,2,845.3528
11,2025/07/01,3,772.3043
11,2025/07/01,4,673.2057
11,2025/08/01,1,899.1275
11,2025/08/01,2,899.1275
11,2025/08/01,3,820.1195
11,2025/08/01,4,710.0844
11,2025/09/01,1,920.2814
11,2025/09/01,2,920.2814
11,2025/09/01,3,833.2335
11,2025/09/01,4,710.0844
11,2025/10/01,1,904.534
11,2025/10/01,2,904.534
11,2025/10/01,3,821.451
11,2025/10/01,4,717.452
11,2025/11/01,1,894.194
11,2025/11/01,2,894.194
11,2025/11/01,3,794.213
11,2025/11/01,4,667.184
11,2025/12/01,1,812.5932
11,2025/12/01,2,812.5932
11,2025/12/01,3,726.5832
11,2025/12/01,4,615.6852
11,2026/01/01,1,768.7375
11,2026/01/01,2,768.7375
11,2026/01/01,3,669.7863
11,2026/01/01,4,544.7844
11,2026/02/01,1,860.203
11,2026/02/01,2,860.203
11,2026/02/01,3,773.225
11,2026/02/01,4,668.1135
11,2026/03/01,1,875.0291
11,2026/03/01,2,875.0291
11,2026/03/01,3,794.97
11,2026/03/01,4,686.0029
11,2026/04/01,1,888.5424
11,2026/04/01,2,888.5424
11,2026/04/01,3,803.5968
11,2026/04/01,4,695.5584
11,2026/05/01,1,931.0049
11,2026/05/01,2,931.0049
11,2026/05/01,3,834.02
11,2026/05/01,4,725.135
11,2026/06/01,1,917.0234
11,2026/06/01,2,917.0234
11,2026/06/01,3,834.02
11,2026/06/01,4,725.135
11,2026/07/01,1,990.3792
11,2026/07/01,2,990.3792
11,2026/07/01,3,903.3425
11,2026/07/01,4,777.2026
11,2026/08/01,1,1053.8
11,2026/08/01,2,1053.8
11,2026/08/01,3,957.8084
11,2026/08/01,4,819.7606
11,2026/09/01,1,1087.44
11,2026/09/01,2,1087.44
11,2026/09/01,3,985.3939
11,2026/09/01,4,835.3785
11,2026/10/01,1,1071.026
11,2026/10/01,2,1071.026
11,2026/10/01,3,970.9722
11,2026/10/01,4,841.94
11,2026/11/01,1,1057.73
11,2026/11/01,2,1057.73
11,2026/11/01,3,937.745
11,2026/11/01,4,787.7401
11,2026/12/01,1,958.3792
11,2026/12/01,2,958.3792
11,2026/12/01,3,854.2842
11,2026/12/01,4,722.2929
11,2027/01/01,1,899.5032
11,2027/01/01,2,899.5032
11,2027/01/01,3,789.5856
11,2027/01/01,4,649.5057
11,2027/02/01,1,899.5032
11,2027/02/01,2,899.5032
11,2027/02/01,3,799.646
11,2027/02/01,4,678.7259
11,2027/03/01,1,916.2816
11,2027/03/01,2,916.2816
11,2027/03/01,3,824.2624
11,2027/03/01,4,696.3008
11,2027/04/01,1,930.2615
11,2027/04/01,2,930.2615
11,2027/04/01,3,832.2102
11,2027/04/01,4,712.1628
11,2027/05/01,1,974.1691
11,2027/05/01,2,974.1691
11,2027/05/01,3,863.1252
11,2027/05/01,4,737.0874
11,2027/06/01,1,959.9213
11,2027/06/01,2,959.9213
11,2027/06/01,3,863.1252
11,2027/06/01,4,737.0874
11,2027/07/01,1,1037.767
11,2027/07/01,2,1037.767
11,2027/07/01,3,938.7634
11,2027/07/01,4,789.697
11,2027/08/01,1,1103.521
