**** Planta:   57 MAUA         Penal:    599.53776
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2034       0       0       0       0       0       5       0       0       0       0       0       0
2035       0       0       0       0       0       5       0       0       0       0       0       0
2036       0       0       0       0       0       5       0       0       0       0       0       0
2037       0       0       0       0       0       5       0       0       0       0       0       0
2038       0       0       0       0       0       5       0       0       0       0       0       0
2039       0       0       0       0       0       5       0       0       0       0       0       0
**** Planta:   91 MACHADINHO   Penal:    532.79609
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     295     295     295     295     120     120     313     312     293     295     295     295
2026     295     295     295     295     120     120     313     312     293     295     295     295
2027     295     295     295     295     120     120     313     312     293     295     295     295
2028     295     295     295     295     120     120     313     312     293     295     295     295
2029     295     295     295     295     120     120     313     312     293     295     295     295
2030     295     295     295     295     120     120     313     312     293     295     295     295
2031     295     295     295     295     120     120     313     312     293     295     295     295
2032     295     295     295     295     120     120     313     312     293     295     295     295
2033     295     295     295     295     120     120     313     312     293     295     295     295
2034     295     295     295     295     120     120     313     312     293     295     295     295
2035     295     295     295     295     120     120     313     312     293     295     295     295
2036     295     295     295     295     120     120     313     312     293     295     295     295
2037     295     295     295     295     120     120     313     312     293     295     295     295
2038     295     295     295     295     120     120     313     312     293     295     295     295
2039     295     295     295     295     120     120     313     312     293     295     295     295
**** Planta:   92 ITA          Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     150     150     219     150     150     150     150     150     181     183     150     150
2026     150     150     219     150     150     150     150     150     181     183     150     150
2027     150     150     219     150     150     150     150     150     181     183     150     150
2028     150     150     219     150     150     150     150     150     181     183     150     150
2029     150     150     219     150     150     150     150     150     181     183     150     150
2030     150     150     219     150     150     150     150     150     181     183     150     150
2031     150     150     219     150     150     150     150     150     181     183     150     150
2032     150     150     219     150     150     150     150     150     181     183     150     150
2033     150     150     219     150     150     150     150     150     181     183     150     150
2034     150     150     219     150     150     150     150     150     181     183     150     150
2035     150     150     219     150     150     150     150     150     181     183     150     150
2036     150     150     219     150     150     150     150     150     181     183     150     150
2037     150     150     219     150     150     150     150     150     181     183     150     150
2038     150     150     219     150     150     150     150     150     181     183     150     150
2039     150     150     219     150     150     150     150     150     181     183     150     150
**** Planta:   93 PASSO FUNDO  Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025       0       0       0       0       0       0       0       0       2       3       0       0
2026       0       0       0       0       0       0       0       0       2       3       0       0
2027       0       0       0       0       0       0       0       0       2       3       0       0
2028       0       0       0       0       0       0       0       0       2       3       0       0
2029       0       0       0       0       0       0       0       0       2       3       0       0
2030       0       0       0       0       0       0       0       0       2       3       0       0
2031       0       0       0       0       0       0       0       0       2       3       0       0
