NUM: 117 GUARAPIRANGA          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2038  1.43  1.46  1.45  1.55  1.54  1.54  1.57  1.59  1.56  1.51  1.44  1.43
2039  1.43  1.46  1.45  1.55  1.54  1.54  1.57  1.59  1.56  1.51  1.44  1.44
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 129 SIMPLICIO             Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  3.06   3.1  2.86   3.3  3.52  3.86   4.3  4.78  5.03  4.94  4.75  3.55
2026  3.09  3.13  2.89  3.36  3.59  3.93  4.37  4.85  5.06  4.94  4.73  3.56
2027  3.11  3.16  2.93  3.42  3.66     4  4.44  4.91  5.07  4.93   4.7  3.57
2028  3.14  3.24  2.96  3.48  3.73  4.07  4.51  4.98  5.12  4.93   4.7  3.58
2029  3.16  3.21     3  3.54   3.8  4.14  4.58  5.05  5.15  4.93  4.68  3.59
2030  3.19  3.24  3.03   3.6  3.87  4.21  4.65  5.12  5.18  4.92  4.66   3.6
2031  3.21  3.26  3.06  3.66  3.94  4.27  4.72  5.18  5.19  4.91  4.63   3.6
2032  3.23  3.33  3.09  3.72  4.01  4.34  4.79  5.25  5.24  4.91  4.62  3.61
2033  3.25  3.31  3.13  3.78  4.08  4.41  4.86  5.32  5.27  4.91   4.6  3.62
2034  3.27  3.34  3.16  3.84  4.15  4.48  4.93  5.38   5.3   4.9  4.58  3.63
2035   3.3  3.36  3.19  3.89  4.22  4.54  4.99  5.45  5.32  4.89  4.55  3.63
2036  3.31  3.42  3.22  3.95  4.28  4.61  5.06  5.51  5.36  4.89  4.54  3.64
2037  3.33   3.4  3.25     4  4.35  4.67  5.13  5.57  5.38  4.88  4.51  3.64
2038  3.35  3.42  3.27  4.06  4.41  4.73  5.19  5.64  5.41  4.87  4.49  3.64
2039  3.37  3.44   3.3  4.11  4.48  4.79  5.25  5.69  5.42  4.85  4.46  3.64
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 130 ILHA POMBOS           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.11  0.35  0.18  0.77  1.27  1.54  1.65  1.89  1.49  0.95  0.12  0.11
2026  0.12  0.36  0.18  0.79  1.31  1.58   1.7  1.94  1.53  0.97  0.12  0.11
2027  0.12  0.37  0.19   0.8  1.34  1.62  1.74  1.99  1.57     1  0.12  0.11
2028  0.12  0.37  0.19  0.83  1.38  1.67  1.79  2.05  1.61  1.03  0.12  0.11
2029  0.12  0.39  0.19  0.85  1.41  1.71  1.83   2.1  1.66  1.05  0.12  0.11
2030  0.12  0.39  0.19  0.86  1.44  1.74  1.87  2.14  1.68  1.07  0.12  0.11
2031  0.12   0.4   0.2  0.87  1.46  1.76  1.89  2.16   1.7  1.08  0.12  0.11
2032  0.12  0.39   0.2  0.89  1.48  1.79  1.92  2.19  1.73  1.09  0.12  0.12
2033  0.12  0.41   0.2   0.9  1.49  1.81  1.94  2.22  1.75  1.11  0.13  0.12
2034  0.12  0.41   0.2  0.91  1.51  1.83  1.96  2.24  1.77  1.12  0.13  0.12
2035  0.12  0.42   0.2  0.91  1.53  1.85  1.99  2.27  1.79  1.13  0.13  0.12
2036  0.13  0.41  0.21  0.93  1.55  1.87  2.01   2.3  1.81  1.15  0.13  0.12
2037  0.13  0.43  0.21  0.94  1.57   1.9  2.04  2.33  1.83  1.16  0.13  0.12
