**** Fuel:    201 GAS         
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2037     953     953     953     953     953     953     953     953     953     953     953     953
2038     958     958     958     958     958     958     958     958     958     958     958     958
2039     964     964     964     964     964     964     964     964     964     964     964     964
**** Fuel:    783 GAS (783)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025     978     978     978     978     978     978     978     978     978     978     978     978
2026 1034.19 1034.19 1034.19 1034.19 1034.19 1034.19 1034.19 1034.19 1034.19 1034.19 1034.19 1034.19
2027 1038.57 1038.57 1038.57 1038.57 1038.57 1038.57 1038.57 1038.57 1038.57 1038.57 1038.57 1038.57
2028  1044.5  1044.5  1044.5  1044.5  1044.5  1044.5  1044.5  1044.5  1044.5  1044.5  1044.5  1044.5
2029 1050.63 1050.63 1050.63 1050.63 1050.63 1050.63 1050.63 1050.63 1050.63 1050.63 1050.63 1050.63
2030  1057.8  1057.8  1057.8  1057.8  1057.8  1057.8  1057.8  1057.8  1057.8  1057.8  1057.8  1057.8
2031  1063.6  1063.6  1063.6  1063.6  1063.6  1063.6  1063.6  1063.6  1063.6  1063.6  1063.6  1063.6
2032 1072.12 1072.12 1072.12 1072.12 1072.12 1072.12 1072.12 1072.12 1072.12 1072.12 1072.12 1072.12
2033 1076.89 1076.89 1076.89 1076.89 1076.89 1076.89 1076.89 1076.89 1076.89 1076.89 1076.89 1076.89
2034 1084.01 1084.01 1084.01 1084.01 1084.01 1084.01 1084.01 1084.01 1084.01 1084.01 1084.01 1084.01
2035 1092.89 1092.89 1092.89 1092.89 1092.89 1092.89 1092.89 1092.89 1092.89 1092.89 1092.89 1092.89
2036    1099    1099    1099    1099    1099    1099    1099    1099    1099    1099    1099    1099
2037 1105.76 1105.76 1105.76 1105.76 1105.76 1105.76 1105.76 1105.76 1105.76 1105.76 1105.76 1105.76
2038 1111.31 1111.31 1111.31 1111.31 1111.31 1111.31 1111.31 1111.31 1111.31 1111.31 1111.31 1111.31
2039 1116.85 1116.85 1116.85 1116.85 1116.85 1116.85 1116.85 1116.85 1116.85 1116.85 1116.85 1116.85
**** Fuel:    784 GAS (784)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025    1116    1116    1116    1116    1116    1116    1116    1116    1116    1116    1116    1116
2026  1179.7  1179.7  1179.7  1179.7  1179.7  1179.7  1179.7  1179.7  1179.7  1179.7  1179.7  1179.7
2027 1184.73 1184.73 1184.73 1184.73 1184.73 1184.73 1184.73 1184.73 1184.73 1184.73 1184.73 1184.73
2028 1191.53 1191.53 1191.53 1191.53 1191.53 1191.53 1191.53 1191.53 1191.53 1191.53 1191.53 1191.53
2029 1198.56 1198.56 1198.56 1198.56 1198.56 1198.56 1198.56 1198.56 1198.56 1198.56 1198.56 1198.56
2030 1206.78 1206.78 1206.78 1206.78 1206.78 1206.78 1206.78 1206.78 1206.78 1206.78 1206.78 1206.78
2031 1213.44 1213.44 1213.44 1213.44 1213.44 1213.44 1213.44 1213.44 1213.44 1213.44 1213.44 1213.44
2032 1223.21 1223.21 1223.21 1223.21 1223.21 1223.21 1223.21 1223.21 1223.21 1223.21 1223.21 1223.21
2033 1228.68 1228.68 1228.68 1228.68 1228.68 1228.68 1228.68 1228.68 1228.68 1228.68 1228.68 1228.68
2034 1236.85 1236.85 1236.85 1236.85 1236.85 1236.85 1236.85 1236.85 1236.85 1236.85 1236.85 1236.85
2035 1247.03 1247.03 1247.03 1247.03 1247.03 1247.03 1247.03 1247.03 1247.03 1247.03 1247.03 1247.03
2036 1254.04 1254.04 1254.04 1254.04 1254.04 1254.04 1254.04 1254.04 1254.04 1254.04 1254.04 1254.04
2037  1261.8  1261.8  1261.8  1261.8  1261.8  1261.8  1261.8  1261.8  1261.8  1261.8  1261.8  1261.8
