**** Fuel:     98 OLEO (98)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2028 1587.98 1587.98 1587.98 1587.98 1587.98 1587.98 1587.98 1587.98 1587.98 1587.98 1587.98 1587.98
2029 1591.38 1591.38 1591.38 1591.38 1591.38 1591.38 1591.38 1591.38 1591.38 1591.38 1591.38 1591.38
2030 1594.78 1594.78 1594.78 1594.78 1594.78 1594.78 1594.78 1594.78 1594.78 1594.78 1594.78 1594.78
2031 1596.48 1596.48 1596.48 1596.48 1596.48 1596.48 1596.48 1596.48 1596.48 1596.48 1596.48 1596.48
2032 1599.88 1599.88 1599.88 1599.88 1599.88 1599.88 1599.88 1599.88 1599.88 1599.88 1599.88 1599.88
2033 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18 1581.18
2034 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88
2035 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88
2036 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88
2037 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88
2038 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88
2039 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88 1565.88
**** Fuel:    151 DIESEL (151)
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025 1313.36 1313.36 1313.36 1313.36 1313.36 1313.36 1313.36 1313.36 1313.36 1313.36 1313.36 1313.36
2026 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26 2632.26
2027  2637.8  2637.8  2637.8  2637.8  2637.8  2637.8  2637.8  2637.8  2637.8  2637.8  2637.8  2637.8
2028 2643.35 2643.35 2643.35 2643.35 2643.35 2643.35 2643.35 2643.35 2643.35 2643.35 2643.35 2643.35
2029 2648.89 2648.89 2648.89 2648.89 2648.89 2648.89 2648.89 2648.89 2648.89 2648.89 2648.89 2648.89
2030 2654.43 2654.43 2654.43 2654.43 2654.43 2654.43 2654.43 2654.43 2654.43 2654.43 2654.43 2654.43
