$version=1
!code,Date,block,Pp,Pi,Pz
154,2036/01/01,1,12.47,0,0
154,2036/01/01,2,12.47,0,0
154,2036/01/01,3,12.47,0,0
154,2036/01/01,4,12.47,0,0
154,2037/01/01,1,12.79,0,0
154,2037/01/01,2,12.79,0,0
154,2037/01/01,3,12.79,0,0
154,2037/01/01,4,12.79,0,0
154,2038/01/01,1,13.13,0,0
154,2038/01/01,2,13.13,0,0
154,2038/01/01,3,13.13,0,0
154,2038/01/01,4,13.13,0,0
154,2039/01/01,1,13.47,0,0
154,2039/01/01,2,13.47,0,0
154,2039/01/01,3,13.47,0,0
154,2039/01/01,4,13.47,0,0
154,2040/01/01,1,13.82,0,0
154,2040/01/01,2,13.82,0,0
154,2040/01/01,3,13.82,0,0
154,2040/01/01,4,13.82,0,0
155,1900/01/01,1,6.342,0,0
155,1900/01/01,2,6.342,0,0
155,1900/01/01,3,6.342,0,0
155,1900/01/01,4,6.342,0,0
155,2030/01/01,1,6.507,0,0
155,2030/01/01,2,6.507,0,0
155,2030/01/01,3,6.507,0,0
155,2030/01/01,4,6.507,0,0
155,2031/01/01,1,6.676,0,0
155,2031/01/01,2,6.676,0,0
155,2031/01/01,3,6.676,0,0
155,2031/01/01,4,6.676,0,0
155,2032/01/01,1,6.85,0,0
155,2032/01/01,2,6.85,0,0
155,2032/01/01,3,6.85,0,0
155,2032/01/01,4,6.85,0,0
155,2033/01/01,1,7.028,0,0
155,2033/01/01,2,7.028,0,0
155,2033/01/01,3,7.028,0,0
155,2033/01/01,4,7.028,0,0
155,2034/01/01,1,7.21,0,0
155,2034/01/01,2,7.21,0,0
155,2034/01/01,3,7.21,0,0
155,2034/01/01,4,7.21,0,0
155,2035/01/01,1,7.398,0,0
155,2035/01/01,2,7.398,0,0
155,2035/01/01,3,7.398,0,0
155,2035/01/01,4,7.398,0,0
155,2036/01/01,1,7.59,0,0
155,2036/01/01,2,7.59,0,0
155,2036/01/01,3,7.59,0,0
155,2036/01/01,4,7.59,0,0
155,2037/01/01,1,7.788,0,0
155,2037/01/01,2,7.788,0,0
155,2037/01/01,3,7.788,0,0
155,2037/01/01,4,7.788,0,0
155,2038/01/01,1,7.99,0,0
155,2038/01/01,2,7.99,0,0
155,2038/01/01,3,7.99,0,0
155,2038/01/01,4,7.99,0,0
155,2039/01/01,1,8.198,0,0
155,2039/01/01,2,8.198,0,0
155,2039/01/01,3,8.198,0,0
155,2039/01/01,4,8.198,0,0
155,2040/01/01,1,8.411,0,0
155,2040/01/01,2,8.411,0,0
155,2040/01/01,3,8.411,0,0
155,2040/01/01,4,8.411,0,0
156,1900/01/01,1,4.87,0,0
156,1900/01/01,2,4.87,0,0
156,1900/01/01,3,4.87,0,0
156,1900/01/01,4,4.87,0,0
156,2030/01/01,1,4.996,0,0
156,2030/01/01,2,4.996,0,0
156,2030/01/01,3,4.996,0,0
156,2030/01/01,4,4.996,0,0
156,2031/01/01,1,5.126,0,0
156,2031/01/01,2,5.126,0,0
156,2031/01/01,3,5.126,0,0
156,2031/01/01,4,5.126,0,0
156,2032/01/01,1,5.259,0,0
156,2032/01/01,2,5.259,0,0
156,2032/01/01,3,5.259,0,0
156,2032/01/01,4,5.259,0,0
156,2033/01/01,1,5.396,0,0
156,2033/01/01,2,5.396,0,0
156,2033/01/01,3,5.396,0,0
156,2033/01/01,4,5.396,0,0
156,2034/01/01,1,5.537,0,0
156,2034/01/01,2,5.537,0,0
156,2034/01/01,3,5.537,0,0
156,2034/01/01,4,5.537,0,0
156,2035/01/01,1,5.68,0,0
156,2035/01/01,2,5.68,0,0
156,2035/01/01,3,5.68,0,0
156,2035/01/01,4,5.68,0,0
156,2036/01/01,1,5.828,0,0
156,2036/01/01,2,5.828,0,0
156,2036/01/01,3,5.828,0,0
156,2036/01/01,4,5.828,0,0
156,2037/01/01,1,5.98,0,0
156,2037/01/01,2,5.98,0,0
156,2037/01/01,3,5.98,0,0
156,2037/01/01,4,5.98,0,0
156,2038/01/01,1,6.135,0,0
156,2038/01/01,2,6.135,0,0
156,2038/01/01,3,6.135,0,0
156,2038/01/01,4,6.135,0,0
156,2039/01/01,1,6.295,0,0
156,2039/01/01,2,6.295,0,0
156,2039/01/01,3,6.295,0,0
156,2039/01/01,4,6.295,0,0
156,2040/01/01,1,6.458,0,0
156,2040/01/01,2,6.458,0,0
156,2040/01/01,3,6.458,0,0
156,2040/01/01,4,6.458,0,0
157,1900/01/01,1,23.78,0,0
157,1900/01/01,2,23.78,0,0
157,1900/01/01,3,23.78,0,0
157,1900/01/01,4,23.78,0,0
157,2030/01/01,1,24.4,0,0
157,2030/01/01,2,24.4,0,0
157,2030/01/01,3,24.4,0,0
157,2030/01/01,4,24.4,0,0
157,2031/01/01,1,25.03,0,0
157,2031/01/01,2,25.03,0,0
157,2031/01/01,3,25.03,0,0
157,2031/01/01,4,25.03,0,0
157,2032/01/01,1,25.69,0,0
157,2032/01/01,2,25.69,0,0
157,2032/01/01,3,25.69,0,0
157,2032/01/01,4,25.69,0,0
157,2033/01/01,1,26.35,0,0
157,2033/01/01,2,26.35,0,0
157,2033/01/01,3,26.35,0,0
157,2033/01/01,4,26.35,0,0
157,2034/01/01,1,27.04,0,0
157,2034/01/01,2,27.04,0,0
157,2034/01/01,3,27.04,0,0
157,2034/01/01,4,27.04,0,0
157,2035/01/01,1,27.74,0,0
157,2035/01/01,2,27.74,0,0
157,2035/01/01,3,27.74,0,0
157,2035/01/01,4,27.74,0,0
157,2036/01/01,1,28.46,0,0
157,2036/01/01,2,28.46,0,0
157,2036/01/01,3,28.46,0,0
157,2036/01/01,4,28.46,0,0
157,2037/01/01,1,29.2,0,0
157,2037/01/01,2,29.2,0,0
157,2037/01/01,3,29.2,0,0
157,2037/01/01,4,29.2,0,0
157,2038/01/01,1,29.96,0,0
157,2038/01/01,2,29.96,0,0
157,2038/01/01,3,29.96,0,0
157,2038/01/01,4,29.96,0,0
157,2039/01/01,1,30.74,0,0
157,2039/01/01,2,30.74,0,0
157,2039/01/01,3,30.74,0,0
157,2039/01/01,4,30.74,0,0
157,2040/01/01,1,31.54,0,0
157,2040/01/01,2,31.54,0,0
157,2040/01/01,3,31.54,0,0
157,2040/01/01,4,31.54,0,0
158,1900/01/01,1,9.853,0,0
158,1900/01/01,2,9.853,0,0
158,1900/01/01,3,9.853,0,0
158,1900/01/01,4,9.853,0,0
158,2030/01/01,1,10.11,0,0
158,2030/01/01,2,10.11,0,0
158,2030/01/01,3,10.11,0,0
158,2030/01/01,4,10.11,0,0
158,2031/01/01,1,10.37,0,0
158,2031/01/01,2,10.37,0,0
158,2031/01/01,3,10.37,0,0
158,2031/01/01,4,10.37,0,0
158,2032/01/01,1,10.64,0,0
158,2032/01/01,2,10.64,0,0
158,2032/01/01,3,10.64,0,0
158,2032/01/01,4,10.64,0,0
158,2033/01/01,1,10.92,0,0
158,2033/01/01,2,10.92,0,0
158,2033/01/01,3,10.92,0,0
158,2033/01/01,4,10.92,0,0
158,2034/01/01,1,11.2,0,0
158,2034/01/01,2,11.2,0,0
158,2034/01/01,3,11.2,0,0
158,2034/01/01,4,11.2,0,0
158,2035/01/01,1,11.49,0,0
158,2035/01/01,2,11.49,0,0
158,2035/01/01,3,11.49,0,0
158,2035/01/01,4,11.49,0,0
158,2036/01/01,1,11.79,0,0
158,2036/01/01,2,11.79,0,0
158,2036/01/01,3,11.79,0,0
158,2036/01/01,4,11.79,0,0
158,2037/01/01,1,12.1,0,0
158,2037/01/01,2,12.1,0,0
158,2037/01/01,3,12.1,0,0
158,2037/01/01,4,12.1,0,0
158,2038/01/01,1,12.41,0,0
158,2038/01/01,2,12.41,0,0
158,2038/01/01,3,12.41,0,0
158,2038/01/01,4,12.41,0,0
158,2039/01/01,1,12.74,0,0
158,2039/01/01,2,12.74,0,0
158,2039/01/01,3,12.74,0,0
158,2039/01/01,4,12.74,0,0
158,2040/01/01,1,13.07,0,0
158,2040/01/01,2,13.07,0,0
158,2040/01/01,3,13.07,0,0
158,2040/01/01,4,13.07,0,0
159,1900/01/01,1,14.16,0,0
159,1900/01/01,2,14.16,0,0
159,1900/01/01,3,14.16,0,0
159,1900/01/01,4,14.16,0,0
159,2030/01/01,1,14.52,0,0
159,2030/01/01,2,14.52,0,0
159,2030/01/01,3,14.52,0,0
159,2030/01/01,4,14.52,0,0
159,2031/01/01,1,14.9,0,0
159,2031/01/01,2,14.9,0,0
159,2031/01/01,3,14.9,0,0
159,2031/01/01,4,14.9,0,0
159,2032/01/01,1,15.29,0,0
159,2032/01/01,2,15.29,0,0
159,2032/01/01,3,15.29,0,0
159,2032/01/01,4,15.29,0,0
159,2033/01/01,1,15.69,0,0
159,2033/01/01,2,15.69,0,0
159,2033/01/01,3,15.69,0,0
159,2033/01/01,4,15.69,0,0
159,2034/01/01,1,16.09,0,0
159,2034/01/01,2,16.09,0,0
159,2034/01/01,3,16.09,0,0
159,2034/01/01,4,16.09,0,0
159,2035/01/01,1,16.51,0,0
159,2035/01/01,2,16.51,0,0
159,2035/01/01,3,16.51,0,0
159,2035/01/01,4,16.51,0,0
159,2036/01/01,1,16.94,0,0
159,2036/01/01,2,16.94,0,0
159,2036/01/01,3,16.94,0,0
159,2036/01/01,4,16.94,0,0
159,2037/01/01,1,17.38,0,0
159,2037/01/01,2,17.38,0,0
159,2037/01/01,3,17.38,0,0
159,2037/01/01,4,17.38,0,0
159,2038/01/01,1,17.83,0,0
159,2038/01/01,2,17.83,0,0
159,2038/01/01,3,17.83,0,0
159,2038/01/01,4,17.83,0,0
159,2039/01/01,1,18.3,0,0
159,2039/01/01,2,18.3,0,0
159,2039/01/01,3,18.3,0,0
159,2039/01/01,4,18.3,0,0
159,2040/01/01,1,18.77,0,0
159,2040/01/01,2,18.77,0,0
159,2040/01/01,3,18.77,0,0
159,2040/01/01,4,18.77,0,0
160,1900/01/01,1,50.4,0,0
160,1900/01/01,2,50.4,0,0
160,1900/01/01,3,50.4,0,0
160,1900/01/01,4,50.4,0,0
160,2030/01/01,1,51.71,0,0
160,2030/01/01,2,51.71,0,0
160,2030/01/01,3,51.71,0,0
160,2030/01/01,4,51.71,0,0
160,2031/01/01,1,53.05,0,0
160,2031/01/01,2,53.05,0,0
160,2031/01/01,3,53.05,0,0
160,2031/01/01,4,53.05,0,0
160,2032/01/01,1,54.43,0,0
160,2032/01/01,2,54.43,0,0
160,2032/01/01,3,54.43,0,0
160,2032/01/01,4,54.43,0,0
160,2033/01/01,1,55.84,0,0
160,2033/01/01,2,55.84,0,0
160,2033/01/01,3,55.84,0,0
160,2033/01/01,4,55.84,0,0
160,2034/01/01,1,57.3,0,0
160,2034/01/01,2,57.3,0,0
160,2034/01/01,3,57.3,0,0
160,2034/01/01,4,57.3,0,0
160,2035/01/01,1,58.79,0,0
160,2035/01/01,2,58.79,0,0
160,2035/01/01,3,58.79,0,0
