****   8.3288 103 SINOP        :>: H: 227                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2031   1     450     350     664     553     397     224     176     109      91     114     120     187
2031   2     354     350     441     446     436     250     166     101      74      92     112     131
2031   3     391     285     412     416     373     223     176      93      69      79     127     128
2031   4     362     230     279     333     160     181     137      95      72      75      91     135
2032   1     450     350     664     553     397     224     176     109      91     114     120     187
2032   2     354     350     441     446     436     250     166     101      74      92     112     131
2032   3     391     285     412     416     373     223     176      93      69      79     127     128
2032   4     362     230     279     333     160     181     137      95      72      75      91     135
2033   1     450     350     664     553     397     224     176     109      91     114     120     187
2033   2     354     350     441     446     436     250     166     101      74      92     112     131
2033   3     391     285     412     416     373     223     176      93      69      79     127     128
2033   4     362     230     279     333     160     181     137      95      72      75      91     135
2034   1     450     350     664     553     397     224     176     109      91     114     120     187
2034   2     354     350     441     446     436     250     166     101      74      92     112     131
2034   3     391     285     412     416     373     223     176      93      69      79     127     128
2034   4     362     230     279     333     160     181     137      95      72      75      91     135
2035   1     450     350     664     553     397     224     176     109      91     114     120     187
2035   2     354     350     441     446     436     250     166     101      74      92     112     131
2035   3     391     285     412     416     373     223     176      93      69      79     127     128
2035   4     362     230     279     333     160     181     137      95      72      75      91     135
2036   1     450     350     664     553     397     224     176     109      91     114     120     187
2036   2     354     350     441     446     436     250     166     101      74      92     112     131
2036   3     391     285     412     416     373     223     176      93      69      79     127     128
2036   4     362     230     279     333     160     181     137      95      72      75      91     135
2037   1     450     350     664     553     397     224     176     109      91     114     120     187
2037   2     354     350     441     446     436     250     166     101      74      92     112     131
2037   3     391     285     412     416     373     223     176      93      69      79     127     128
2037   4     362     230     279     333     160     181     137      95      72      75      91     135
2038   1     450     350     664     553     397     224     176     109      91     114     120     187
2038   2     354     350     441     446     436     250     166     101      74      92     112     131
2038   3     391     285     412     416     373     223     176      93      69      79     127     128
2038   4     362     230     279     333     160     181     137      95      72      75      91     135
2039   1     450     350     664     553     397     224     176     109      91     114     120     187
2039   2     354     350     441     446     436     250     166     101      74      92     112     131
2039   3     391     285     412     416     373     223     176      93      69      79     127     128
2039   4     362     230     279     333     160     181     137      95      72      75      91     135
