NUM:   1 CAMARGOS              Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2039  0.31  0.31  0.31  0.64  0.64  0.65  0.73  0.81   0.7  0.47  0.37  0.31
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:  15 EUCLID CUNHA          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.21  0.21  0.22  0.48  0.52   0.6  0.76  0.83  0.59  0.31  0.24  0.21
2026  0.21  0.21  0.22   0.5  0.53  0.61  0.79  0.85   0.6  0.31  0.24  0.22
2027  0.22  0.22  0.22  0.51  0.54  0.63  0.81  0.87  0.62  0.32  0.24  0.22
2028  0.22  0.22  0.22  0.52  0.56  0.65  0.83   0.9  0.64  0.32  0.25  0.22
2029  0.22  0.22  0.23  0.53  0.57  0.66  0.85  0.92  0.65  0.33  0.25  0.22
2030  0.22  0.22  0.23  0.54  0.58  0.68  0.88  0.95  0.67  0.33  0.25  0.23
2031  0.23  0.23  0.23  0.56   0.6  0.69   0.9  0.97  0.69  0.34  0.26  0.23
2032  0.23  0.23  0.23  0.57  0.61  0.71  0.92     1   0.7  0.35  0.26  0.23
2033  0.23  0.23  0.24  0.58  0.62  0.73  0.95  1.03  0.72  0.35  0.26  0.23
2034  0.23  0.23  0.24  0.59  0.64  0.74  0.97  1.05  0.74  0.36  0.27  0.24
2035  0.24  0.24  0.24   0.6  0.65  0.76  0.99  1.08  0.75  0.36  0.27  0.24
2036  0.24  0.24  0.24  0.62  0.66  0.78  1.02  1.11  0.77  0.37  0.27  0.24
2037  0.24  0.24  0.25  0.63  0.68   0.8  1.04  1.13  0.79  0.37  0.27  0.24
2038  0.24  0.24  0.25  0.64  0.69  0.81  1.06  1.16   0.8  0.38  0.28  0.24
2039  0.24  0.24  0.25  0.65   0.7  0.83  1.09  1.18  0.82  0.39  0.28  0.25
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:  16 A.S.OLIVEIRA          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.01  0.01  0.01  0.12  0.13  0.16  0.21  0.24  0.17  0.05  0.01  0.01
2026  0.01  0.01  0.01  0.13  0.14  0.16  0.22  0.25  0.18  0.06  0.01  0.01
2027  0.01  0.01  0.01  0.13  0.14  0.17  0.23  0.26  0.19  0.06  0.02  0.01
2028  0.01  0.01  0.01  0.13  0.15  0.17  0.24  0.27  0.19  0.06  0.02  0.01
2029  0.01  0.01  0.01  0.14  0.15  0.18  0.25  0.28   0.2  0.06  0.02  0.01
2030  0.01  0.01  0.01  0.14  0.16  0.19  0.25  0.29   0.2  0.06  0.02  0.01
2031  0.01  0.01  0.01  0.15  0.16  0.19  0.26   0.3  0.21  0.06  0.02  0.01
2032  0.01  0.01  0.01  0.15  0.17   0.2  0.27  0.31  0.22  0.07  0.02  0.01
2033  0.01  0.01  0.01  0.16  0.17   0.2  0.28  0.32  0.22  0.07  0.02  0.01
2034  0.01  0.01  0.01  0.16  0.18  0.21  0.29  0.33  0.23  0.07  0.02  0.01
2035  0.01  0.01  0.01  0.17  0.18  0.22   0.3  0.34  0.24  0.07  0.02  0.01
2036  0.01  0.01  0.01  0.17  0.19  0.22   0.3  0.35  0.24  0.07  0.02  0.01
2037  0.01  0.01  0.01  0.18  0.19  0.23  0.31  0.36  0.25  0.08  0.02  0.01
2038  0.01  0.01  0.01  0.18   0.2  0.23  0.32  0.37  0.26  0.08  0.02  0.01
2039  0.01  0.01  0.01  0.18   0.2  0.24  0.33  0.37  0.26  0.08  0.02  0.01
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:  17 MARIMBONDO            Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025 12.88 13.05 13.65 26.89 26.98 29.93 35.38 40.36 35.08 23.12 16.58    13
2026 12.96 13.14 13.76 27.45 27.53 30.58 36.22 41.36  35.9 23.53 16.78 13.09
2027 13.04 13.23 13.87    28 28.07 31.19 36.98 42.22  36.6  23.9 16.97 13.17
2028 13.12 13.31 13.97 28.56 28.63 31.87 37.88 43.36 37.54 24.37 17.16 13.25
2029 13.21  13.4 14.08 29.12 29.18 32.52 38.71 44.36 38.36 24.78 17.35 13.33
2030 13.28 13.48 14.18 29.67 29.72 33.15 39.52 45.31 39.11 25.18 17.53 13.41
2031 13.36 13.57 14.29  30.2 30.23 33.72 40.24 46.14 39.81 25.52 17.71  13.5
2032 13.45 13.65 14.39 30.74 30.76 34.38 41.12 47.27 40.75 25.98 17.89 13.58
2033 13.53 13.74 14.49 31.28 31.29 34.99 41.92 48.23 41.54 26.38 18.07 13.66
2034 13.61 13.82 14.59 31.81 31.81  35.6 42.71  49.2 42.34 26.78 18.25 13.75
2035 13.69 13.91  14.7 32.35 32.32 36.17 43.42 49.99 42.98 27.11 18.42 13.83
2036 13.77 13.99  14.8 32.89 32.85 36.83  44.3 51.12 43.92 27.57  18.6 13.91
2037 13.85 14.08  14.9 33.42 33.37 37.43 45.09 52.08 44.71 27.96 18.78 13.98
2038 13.92 14.16 14.99 33.95 33.89 38.04 45.89 53.04  45.5 28.36 18.95 14.06
2039    14 14.24 15.09 34.48 34.39  38.6 46.58 53.81 46.12 28.68 19.12 14.14
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:  18 A. VERMELHA           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  5.44  5.64  5.89 10.52 11.06  12.5 14.76 16.81 14.72 11.02  8.37  5.77
2026  5.46  5.67  5.93 10.71 11.26 12.75 15.08 17.19 15.03 11.21  8.48   5.8
2027  5.49   5.7  5.97 10.89 11.46 12.98 15.36 17.53  15.3 11.38  8.58  5.84
2028  5.51  5.72  6.01 11.09 11.68 13.26 15.73 17.96 15.64 11.59   8.7  5.87
2029  5.54  5.76  6.05 11.27 11.88 13.52 16.05 18.34 15.95 11.78  8.81   5.9
2030  5.56  5.79  6.08 11.45 12.08 13.76 16.36  18.7 16.21 11.96  8.91  5.94
2031  5.58  5.82  6.12 11.62 12.26 13.95 16.61    19 16.48 12.12  9.01  5.97
2032  5.61  5.85  6.16  11.8 12.46 14.22 16.94  19.4 16.81 12.32  9.12  6.01
2033  5.63  5.89   6.2 11.97 12.65 14.44 17.23 19.75 17.09  12.5  9.22  6.04
2034  5.66  5.92  6.24 12.14 12.84 14.67 17.52 20.09 17.38 12.68  9.33  6.08
2035  5.69  5.95  6.27 12.31 13.02 14.86 17.76 20.39 17.62 12.84  9.42  6.11
2036  5.71  5.97  6.31 12.49 13.21 15.12  18.1 20.78 17.94 13.04  9.53  6.15
2037  5.74  6.01  6.35 12.66  13.4 15.35 18.38 21.13 18.23 13.22  9.63  6.18
2038  5.76  6.04  6.39 12.84 13.59 15.58 18.67 21.48 18.51  13.4  9.74  6.22
2039  5.79  6.08  6.42    13 13.77 15.76 18.91 21.77 18.75 13.55  9.83  6.25
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:  20 BATALHA               Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.71  4.55  0.96  7.58 22.33 29.67 29.23 22.91 13.69  6.24  0.33   0.1
2026  0.74  4.72  0.99  7.82 23.06 30.64 30.19 23.65 14.12  6.45  0.34  0.11
2027  0.76  4.88  1.02  8.07 23.77 31.57 31.09 24.36 14.53  6.66  0.35  0.11
2028  0.77  4.92  1.05  8.32 24.52 32.59  32.1 25.11 14.98  6.88  0.36  0.11
2029  0.81  5.21  1.08  8.57 25.25 33.56 33.06 25.85  15.4  7.09  0.37  0.11
2030  0.83  5.38   1.1  8.81 25.97 34.52    34 26.55 15.79  7.27  0.37  0.11
2031  0.85  5.51  1.13  9.03 26.58 35.31 34.76 27.17 16.15  7.44  0.38  0.11
2032  0.86  5.51  1.15  9.24 27.23 36.19 35.64 27.82 16.55  7.62  0.39  0.11
2033  0.89  5.78  1.18  9.46 27.86 37.02 36.45 28.46 16.92  7.79   0.4  0.11
2034  0.91  5.91   1.2  9.67 28.49 37.85 37.27 29.09  17.3  7.96   0.4  0.11
2035  0.94  6.05  1.23  9.88  29.1 38.63 38.03 29.71 17.65  8.13  0.41  0.11
2036  0.94  6.03  1.26  10.1 29.75 39.52 38.91 30.36 18.05  8.31  0.42  0.11
2037  0.98  6.31  1.28 10.31 30.38 40.35 39.72    31 18.43  8.48  0.43  0.11
2038     1  6.45  1.31 10.53 31.01 41.18 40.54 31.63  18.8  8.66  0.43  0.12
2039  1.02  6.58  1.33 10.74 31.61 41.96 41.29 32.24 19.15  8.83  0.44  0.12
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:  21 SERRA FACAO           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.08  0.65  0.36  2.54   5.4  7.25  7.42  6.57  4.12  1.74  0.16  0.08
2026  0.08  0.67  0.37  2.64  5.61  7.54  7.72  6.82  4.27   1.8  0.16  0.08
2027  0.08   0.7  0.38  2.73  5.81  7.81  7.99  7.07  4.41  1.86  0.17  0.08
2028  0.08   0.7  0.39  2.83  6.03  8.12  8.31  7.33  4.57  1.92  0.17  0.08
