$version=1
!code,Date,block,Status
11072,1900/01/01,1,1
11072,1900/01/01,2,1
11072,1900/01/01,3,1
11072,1900/01/01,4,1
11073,1900/01/01,1,1
11073,1900/01/01,2,1
11073,1900/01/01,3,1
11073,1900/01/01,4,1
11074,1900/01/01,1,1
11074,1900/01/01,2,1
11074,1900/01/01,3,1
11074,1900/01/01,4,1
11075,1900/01/01,1,1
11075,1900/01/01,2,1
11075,1900/01/01,3,1
11075,1900/01/01,4,1
11076,1900/01/01,1,1
11076,1900/01/01,2,1
11076,1900/01/01,3,1
11076,1900/01/01,4,1
11077,1900/01/01,1,1
11077,1900/01/01,2,1
11077,1900/01/01,3,1
11077,1900/01/01,4,1
11078,1900/01/01,1,1
11078,1900/01/01,2,1
11078,1900/01/01,3,1
11078,1900/01/01,4,1
11079,1900/01/01,1,1
11079,1900/01/01,2,1
11079,1900/01/01,3,1
11079,1900/01/01,4,1
11080,1900/01/01,1,1
11080,1900/01/01,2,1
11080,1900/01/01,3,1
11080,1900/01/01,4,1
11081,1900/01/01,1,1
11081,1900/01/01,2,1
11081,1900/01/01,3,1
11081,1900/01/01,4,1
11082,1900/01/01,1,1
11082,1900/01/01,2,1
11082,1900/01/01,3,1
11082,1900/01/01,4,1
11083,1900/01/01,1,1
11083,1900/01/01,2,1
11083,1900/01/01,3,1
11083,1900/01/01,4,1
11084,1900/01/01,1,1
11084,1900/01/01,2,1
11084,1900/01/01,3,1
11084,1900/01/01,4,1
11085,1900/01/01,1,1
11085,1900/01/01,2,1
