Num Graph...........................|...Unid Type  Y/N
351 Transferencia de area - importacaGWh        2    0
352 Custo intercambio PARA->DE       $/MWh      0    1
353 Disponibilidade de combustivel   k.units    0    0
354 Max. taxa consumo de combustivel un/h       0    0
355 Custo marginal de cota de emissao$/unit     3    0
356 Custo de injecao de potencia     k$         2    0
357 Custo marg. de inj. de potencia  $/MWh      3    0
358 Geracao de unidade hidro         GWh        2    0
359 Custo O&M renovaveis             k$         1    0
360 Perdas restr. de fluxo em circ.  MW         2    0
361 Preco de combustivel             $/unit     0    0
362 Cota de emissao restante         unit       2    0
363 Saldo final make-up por contrato kUC        2    0
364 Desconto de make-up por contrato kUC        2    0
365 Retirada make-up por contrato    kUC        2    0
366 Aporte carry forward por contratokUC        2    0
367 Montante carry forward disponivelkUC        2    0
368 Saldo carry forward              kUC        2    0
369 Injecao liquida por barra CA     MW         2    0
370 Fator de prod. acum. 65% V.U.    MW/m3/s    0    0
371 Max. energia armaz. por reserv.  GWh        0    0
372 Retirada carry forward por contr.kUC        2    0
373 Potencia nominal de baterias     MW         0    0
374 Viol. rest. ger. termica minima  MW         7    1
375 Custo viol rest. ger. termica mink$         8    1
376 Fator de despacho renovavel      %          2    0
377 Renovacao corrente contr. comb.  0          0    0
378 Aporte de make-up por contrato   kUC        2    0
379 Custo viol. en. de seg. conj.res k$         8    0
380 Custo viol en. de alerta conj.resk$         8    1
381 Custo viol en. de espera conj.resk$         8    0
382 Violacao de rampa de defluencia  m3/s       7    0
383 Custo O&M unitario renovaveis    $/MWh      0    0
384 Perc. energia armaz. por reserv. %          2    0
385 Perdas quadraticas nos elos CC   MW         2    0
386 Demanda flexivel atendida        GWh        2    0
387 Corte de demanda flexivel        GWh        2    0
388 Maxima demanda flexivel          GWh        0    0
389 Minima demanda flexivel          GWh        0    0
390 Demanda flexivel de referencia   GWh        0    0
391 Custo de corte de dem. flexivel  k$         1    0
392 Custo marginal de restr. generica$/unit     3    0
393 Violacao de turbinamento minimo dm3/s       7    0
394 Custo de violacao de turbinamentok$         8    0
395 Variavel generica                unit       2    0
396 Perdas de bateria                MWh        2    0
397 Reserva exclusiva                MW         2    0
409 Reserva conjunta de circuito     MW         2    0
410 Disponibilidade contrato comb.   k.units    0    0
411 Desconto carry forward por contr.kUC        2    0
412 Faturamento contrato por ToP     k$         2    0
413 Faturamento contrato por consumo k$         2    0
414 Custo O&M unitario de baterias   $/MWh      0    0
415 Geracao bateria x CMg barra      k$         9    0
416 Ger. bateria x CMg demanda       k$         9    0
419 Geracao de grupo gerador termico GWh        2    0
420 Commitment de grupo gerador termipu         2    0
421 Cad. Ene.: demanda atendida      kUE        2    0
422 Cad. Ene.: custo da demanda elas.k$         1    0
423 Cad. Ene.: custo marg. da demandak$/UE/d    3    0
424 Cad. Ene.: transporte            UE         2    0
425 Cad. Ene.: custo de transporte   k$         1    0
426 Cad. Ene.: custo marg. de cap. trk$/UE/d    3    0
427 Cad. Ene.: qt. final arm.        kUE        2    0
428 Cad. Ene.: custo marg. da qt. arm$/UE       3    0
429 Cad. Ene.: injecao liquida do armkUE/h      2    0
430 Cad. Ene.: custo marg. de inj. ar$/UE/h     3    0
432 Cenario de potencia disponivel reMW         0    0
433 Energia armazenada conj. res. (%)%          2    0
434 Res. conj. nao-exclusiva termica MW         2    0
435 Res. conj. nao-exclusiva hidro   MW         2    0
436 Res. conj. nao-exclusiva bateria MW         2    0
437 Violacao de restr. generica int. unit       7    1
438 Custo viol. de restr. generica ink$         8    1
439 Geracao de CSP                   MWh        2    0
440 Armazenamento de CSP             MWh        2    0
441 Custo marginal de armazenamento d$/MWh      3    0
442 Valor marginal do calor armazenad$/MWh      3    0
443 Carga de CSP                     MWh        2    0
444 Descarga de CSP                  MWh        2    0
445 Custo marginal de capacidade de C$/MW       3    0
446 Limite dinamico de fluxo         pu         0    0
447 Reserva conjunta de interconexao MW         2    0
450 Estado do c.c. termico           0/1        2    0
457 Energia perdida por vertimento   GWh        2    0
482 Geracao de grupo gerador renovaveGWh        2    0
485 Violacao de cota de emissao      unit       7    0
490 Reserva conjunta CSP             MW         2    0
491 Reserva conjunta nao-exclusiva CSMW         2    0
493 Cota do canal de fuga hidro      m          2    0
494 Vazoes totais                    m3/s       0    0
528 Violacao min. retirada contrato dUC         7    0
529 Custo viol. min. retirada contratk$         8    0
532 Fluxo do canal hidrico           m3/s       2    0
533 Violacao fluxo min. de canal hid.m3/s       7    0
534 Violacao fluxo max. de canal hid.m3/s       7    0
535 Custo viol. fluxo min. de canal hk$         8    0
536 Custo viol. fluxo max. de canal hk$         8    0
541 Custo marginal de canal hidrico  k$/m3/s    3    0
543 Decisao de parada termica        0/1        2    0
544 Cad. Ene.: deficit de demanda    UE         7    0
549 Reserva conjunta renovavel       MW         2    0
550 Res. conj. nao-exclusiva renovaveMW         2    0
551 Custo de reserva conjunta de renok$         1    0
552 Custo O&M baterias               k$         1    0
554 Potencia de bateria disponivel   MW         0    0
555 Cenario de CSP                   pu         0    0
556 Cenario de capacidade CSP        MW         0    0
557 Erro em perdas nos circuitos CA  MW         2    0
563 Custo unit. de emissao termica - $/MWh      0    0
564 Custo unit. de emissao termica - $/MWh      0    0
565 Custo unit. de emissao termica - $/MWh      0    0
566 Erro em perdas nos elos CC       MW         2    0
569 Valor marginal da energia de batek$/MWh     3    1
570 Volume inicial de baterias       MWh        2    0
571 Preco de reserva conjunta da bate$/MWh      1    0
