**** Planta:    1 CAMARGOS     Penal:    3102.9723
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2031     162     140     139     137     140     142     137     134     156     139     155     137
2032     162     140     139     137     140     142     137     134     156     139     155     137
2033     162     140     139     137     140     142     137     134     156     139     155     137
2034     162     140     139     137     140     142     137     134     156     139     155     137
2035     162     140     139     137     140     142     137     134     156     139     155     137
2036     162     140     139     137     140     142     137     134     156     139     155     137
2037     162     140     139     137     140     142     137     134     156     139     155     137
2038     162     140     139     137     140     142     137     134     156     139     155     137
2039     162     140     139     137     140     142     137     134     156     139     155     137
**** Planta:   25 NOVA PONTE   Penal:    565.18238
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     129     144     144      89      47      47     136     127      52      47     144     141
2026     129     144     144      89      47      47     136     127      52      47     144     141
2027     129     144     144      89      47      47     136     127      52      47     144     141
2028     129     144     144      89      47      47     136     127      52      47     144     141
2029     129     144     144      89      47      47     136     127      52      47     144     141
2030     129     144     144      89      47      47     136     127      52      47     144     141
2031     129     144     144      89      47      47     136     127      52      47     144     141
2032     129     144     144      89      47      47     136     127      52      47     144     141
2033     129     144     144      89      47      47     136     127      52      47     144     141
2034     129     144     144      89      47      47     136     127      52      47     144     141
2035     129     144     144      89      47      47     136     127      52      47     144     141
2036     129     144     144      89      47      47     136     127      52      47     144     141
2037     129     144     144      89      47      47     136     127      52      47     144     141
2038     129     144     144      89      47      47     136     127      52      47     144     141
2039     129     144     144      89      47      47     136     127      52      47     144     141
**** Planta:   26 MIRANDA      Penal:    567.68104
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     207     154     135     139     131     132     133     133     133     130     135     135
2026     207     154     135     139     131     132     133     133     133     130     135     135
2027     207     154     135     139     131     132     133     133     133     130     135     135
2028     207     154     135     139     131     132     133     133     133     130     135     135
2029     207     154     135     139     131     132     133     133     133     130     135     135
2030     207     154     135     139     131     132     133     133     133     130     135     135
2031     207     154     135     139     131     132     133     133     133     130     135     135
2032     207     154     135     139     131     132     133     133     133     130     135     135
2033     207     154     135     139     131     132     133     133     133     130     135     135
2034     207     154     135     139     131     132     133     133     133     130     135     135
2035     207     154     135     139     131     132     133     133     133     130     135     135
2036     207     154     135     139     131     132     133     133     133     130     135     135
2037     207     154     135     139     131     132     133     133     133     130     135     135
2038     207     154     135     139     131     132     133     133     133     130     135     135
2039     207     154     135     139     131     132     133     133     133     130     135     135
**** Planta:   27 CAPIM BRANC1 Penal:    501.66706
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     213     139     142     123     132      72     130     145     123     125     126     186
2026     213     139     142     123     132      72     130     145     123     125     126     186
2027     213     139     142     123     132      72     130     145     123     125     126     186
2028     213     139     142     123     132      72     130     145     123     125     126     186
2029     213     139     142     123     132      72     130     145     123     125     126     186
2030     213     139     142     123     132      72     130     145     123     125     126     186
2031     213     139     142     123     132      72     130     145     123     125     126     186
2032     213     139     142     123     132      72     130     145     123     125     126     186
2033     213     139     142     123     132      72     130     145     123     125     126     186
