$version=2
!Year,Month,Day,Code,Name,Bus,Existing,Emin,Emax,Pmax,ChargeEffic,DischargeEffic,O&MCost,MinReactivePower,MaxReactivePower,ReactivePowerFactor,GenDev,MaxDev
2036,1,1,206,Bat-6-544,544,0,0,489.2052514717425,122.30131286793562,0.9,1,0,0,0,0,0,0
2036,1,1,906,Bat-6-523,523,0,0,454.5608537703163,113.64021344257908,0.9,1,0,0,0,0,0,0
2036,1,1,1806,Bat-6-80981,80981,0,0,1372.9711066662417,343.2427766665604,0.9,1,0,0,0,0,0,0
2036,1,1,106,Bat-6-12902,12902,0,0,452.01695234495736,113.00423808623934,0.9,1,0,0,0,0,0,0
2036,1,1,1006,Bat-6-58121,58121,0,0,931.4133634506923,232.85334086267306,0.9,1,0,0,0,0,0,0
2036,1,1,1906,Bat-6-12905,12905,0,0,1302.3581178139766,325.58952945349415,0.9,1,0,0,0,0,0,0
2037,1,1,1306,Bat-6-80466,80466,0,0,1154.296839663828,288.574209915957,0.9,1,0,0,0,0,0,0
2037,1,1,1106,Bat-6-11584,11584,0,0,1687.402613164913,421.85065329122824,0.9,1,0,0,0,0,0,0
2037,1,1,206,Bat-6-544,544,0,0,572.8040771666267,143.20101929165668,0.9,1,0,0,0,0,0,0
2037,1,1,306,Bat-6-12501,12501,0,0,1334.7618326792774,333.69045816981935,0.9,1,0,0,0,0,0,0
2037,1,1,406,Bat-6-11575,11575,0,0,1827.6524755425628,456.9131188856407,0.9,1,0,0,0,0,0,0
2037,1,1,606,Bat-6-549,549,0,0,1012.6812557701363,253.17031394253408,0.9,1,0,0,0,0,0,0
2037,1,1,1706,Bat-6-81984,81984,0,0,547.5369807455377,136.88424518638442,0.9,1,0,0,0,0,0,0
2037,1,1,1606,Bat-6-11561,11561,0,0,2031.2548383736494,507.81370959341234,0.9,1,0,0,0,0,0,0
2037,1,1,806,Bat-6-11594,11594,0,0,1259.7595029866354,314.93987574665886,0.9,1,0,0,0,0,0,0
2037,1,1,1406,Bat-6-81983,81983,0,0,1450.261425608089,362.56535640202225,0.9,1,0,0,0,0,0,0
2037,1,1,1006,Bat-6-58121,58121,0,0,1090.5798139063002,272.64495347657504,0.9,1,0,0,0,0,0,0
2037,1,1,1206,Bat-6-505,505,0,0,1046.7369074681244,261.6842268670311,0.9,1,0,0,0,0,0,0
2037,1,1,906,Bat-6-523,523,0,0,532.2394017166837,133.05985042917092,0.9,1,0,0,0,0,0,0
2037,1,1,1806,Bat-6-80981,80981,0,0,1607.594042305217,401.89851057630426,0.9,1,0,0,0,0,0,0
2037,1,1,106,Bat-6-12902,12902,0,0,529.2607805674384,132.3151951418596,0.9,1,0,0,0,0,0,0
2037,1,1,1506,Bat-6-81305,81305,0,0,1036.0508232109848,259.0127058027462,0.9,1,0,0,0,0,0,0
2037,1,1,706,Bat-6-11560,11560,0,0,877.303748464006,219.3259371160015,0.9,1,0,0,0,0,0,0
2037,1,1,506,Bat-6-58691,58691,0,0,1413.858830171383,353.46470754284576,0.9,1,0,0,0,0,0,0
2037,1,1,1906,Bat-6-12905,12905,0,0,1524.9142104885807,381.2285526221452,0.9,1,0,0,0,0,0,0
2038,1,1,1506,Bat-6-81305,81305,0,0,1147.724135630624,286.931033907656,0.9,1,0,0,0,0,0,0
2038,1,1,406,Bat-6-11575,11575,0,0,2024.6505390769692,506.1626347692423,0.9,1,0,0,0,0,0,0
2038,1,1,906,Bat-6-523,523,0,0,589.6081481703942,147.40203704259855,0.9,1,0,0,0,0,0,0
