$version=2
!Year,Month,Day,Code,Name,Bus,Existing,Emin,Emax,Pmax,ChargeEffic,DischargeEffic,O&MCost,MinReactivePower,MaxReactivePower,ReactivePowerFactor,GenDev,MaxDev
2035,1,1,504,Bat-4-60341,60341,0,0,196.5690925082199,49.14227312705498,0.9,1,0,0,0,0,0,0
2035,1,1,1804,Bat-4-3895,3895,0,0,148.33923375495573,37.08480843873893,0.9,1,0,0,0,0,0,0
2035,1,1,404,Bat-4-80265,80265,0,0,212.0978091567672,53.0244522891918,0.9,1,0,0,0,0,0,0
2035,1,1,804,Bat-4-80275,80275,0,0,129.07950164290546,32.269875410726364,0.9,1,0,0,0,0,0,0
2035,1,1,204,Bat-4-2617,2617,0,0,246.49333345886873,61.62333336471718,0.9,1,0,0,0,0,0,0
2035,1,1,304,Bat-4-38912,38912,0,0,338.1710313628214,84.54275784070535,0.9,1,0,0,0,0,0,0
2035,1,1,1104,Bat-4-38900,38900,0,0,256.34099258414994,64.08524814603749,0.9,1,0,0,0,0,0,0
2035,1,1,1504,Bat-4-3875,3875,0,0,206.65888330585292,51.66472082646323,0.9,1,0,0,0,0,0,0
2035,1,1,1904,Bat-4-4298,4298,0,0,265.90959064097433,66.47739766024358,0.9,1,0,0,0,0,0,0
2035,1,1,1704,Bat-4-4285,4285,0,0,369.9547247997016,92.4886811999254,0.9,1,0,0,0,0,0,0
2035,1,1,104,Bat-4-39813,39813,0,0,170.94924977708183,42.73731244427046,0.9,1,0,0,0,0,0,0
2035,1,1,1404,Bat-4-1525,1525,0,0,555.4229055795024,138.8557263948756,0.9,1,0,0,0,0,0,0
2035,1,1,604,Bat-4-60065,60065,0,0,148.1630166037043,37.04075415092608,0.9,1,0,0,0,0,0,0
2035,1,1,904,Bat-4-4293,4293,0,0,238.0288407217118,59.50721018042795,0.9,1,0,0,0,0,0,0
2035,1,1,704,Bat-4-80276,80276,0,0,131.83430241270116,32.95857560317529,0.9,1,0,0,0,0,0,0
