**** Planta:  117 GUARAPIRANGA Penal:         9200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      37      24      63      62      43      47      27      25      22      20      18      46
2026      37      24      63      62      43      47      27      25      22      20      18      46
2027      37      24      63      62      43      47      27      25      22      20      18      46
2028      37      24      63      62      43      47      27      25      22      20      18      46
2029      37      24      63      62      43      47      27      25      22      20      18      46
2030      37      24      63      62      43      47      27      25      22      20      18      46
2031      37      24      63      62      43      47      27      25      22      20      18      46
2032      37      24      63      62      43      47      27      25      22      20      18      46
2033      37      24      63      62      43      47      27      25      22      20      18      46
2034      37      24      63      62      43      47      27      25      22      20      18      46
2035      37      24      63      62      43      47      27      25      22      20      18      46
2036      37      24      63      62      43      47      27      25      22      20      18      46
2037      37      24      63      62      43      47      27      25      22      20      18      46
2038      37      24      63      62      43      47      27      25      22      20      18      46
2039      37      24      63      62      43      47      27      25      22      20      18      46
**** Planta:  135 P. ESTRELA   Penal:    376.48459
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      44      45      73      49      50      54      33      10      16      10      28      53
2026      44      45      73      49      50      54      33      10      16      10      28      53
2027      44      45      73      49      50      54      33      10      16      10      28      53
2028      44      45      73      49      50      54      33      10      16      10      28      53
2029      44      45      73      49      50      54      33      10      16      10      28      53
2030      44      45      73      49      50      54      33      10      16      10      28      53
2031      44      45      73      49      50      54      33      10      16      10      28      53
2032      44      45      73      49      50      54      33      10      16      10      28      53
2033      44      45      73      49      50      54      33      10      16      10      28      53
2034      44      45      73      49      50      54      33      10      16      10      28      53
2035      44      45      73      49      50      54      33      10      16      10      28      53
2036      44      45      73      49      50      54      33      10      16      10      28      53
2037      44      45      73      49      50      54      33      10      16      10      28      53
2038      44      45      73      49      50      54      33      10      16      10      28      53
2039      44      45      73      49      50      54      33      10      16      10      28      53
**** Planta:  139 CANDONGA     Penal:    554.13103
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      58      58      58      58      58      58      58      58      58      58      58      58
2026      58      58      58      58      58      58      58      58      58      58      58      58
2027      58      58      58      58      58      58      58      58      58      58      58      58
2028      58      58      58      58      58      58      58      58      58      58      58      58
2029      58      58      58      58      58      58      58      58      58      58      58      58
2030      58      58      58      58      58      58      58      58      58      58      58      58
2031      58      58      58      58      58      58      58      58      58      58      58      58
